machines;jobs;heuristic_time;total_time;gap;nbeb;opt;ub
3;30;6;6;0;0;40331;110081
4;50;17;18;0;0;58063;209896
5;20;2;3;0;0;120886;459710
4;30;6;7;0;0;193202;656249
4;50;17;18;0;0;62149;225741
3;50;16;22;0;0;725508;2028819
3;20;2;2;0;0;15844;42558
5;40;12;12;0;0;42353;182834
3;50;16;17;0;0;86892;244803
5;20;2;2;0;0;8730;32682
4;50;17;19;0;0;64544;240722
3;40;10;11;0;0;62354;173615
5;50;20;20;0;0;56392;249326
3;30;6;8;0;0;178864;472671
5;20;2;3;0;0;107415;401249
4;20;2;2;0;0;10129;32280
3;30;5;7;0;0;244610;650422
4;20;2;2;0;0;10486;33302
4;30;6;6;0;0;21791;74782
3;30;7;7;0;0;35330;96012
5;50;19;20;0;0;54215;240706
3;50;18;19;0;0;87843;247238
5;40;12;16;0;0;295399;1242898
4;20;3;3;0;0;85933;271510
4;30;6;6;0;0;21697;73680
3;50;17;23;0;0;591286;1645974
5;30;6;7;0;1;19355;83581
5;50;19;19;0;0;41097;179951
4;20;2;3;0;0;74660;229308
3;20;2;3;0;0;103091;253891
3;50;16;17;0;0;76542;215046
3;30;6;7;0;0;36962;100214
4;20;2;3;0;0;80113;246687
3;30;6;8;0;0;313158;846129
3;40;10;11;0;0;49428;136502
3;20;2;2;0;0;9882;25192
5;50;19;20;0;0;50165;221027
5;30;6;8;0;0;173090;694221
3;50;18;18;0;0;89519;252095
3;30;5;6;0;0;27736;74624
4;20;2;2;0;0;19939;66174
3;50;17;18;0;0;85391;244681
4;50;17;19;0;0;60538;225798
3;20;2;2;0;0;16109;41165
4;50;17;24;0;0;494600;1772774
5;50;18;19;0;0;46698;204922
3;30;5;6;0;0;34623;93984
5;50;18;19;0;0;51550;227251
3;30;5;6;0;0;32136;89278
5;50;19;25;0;0;379228;1643102
5;30;6;6;0;0;24218;99446
4;50;18;25;0;0;574635;2072771
3;50;16;22;0;0;565462;1566611
5;50;19;21;0;0;53537;244251
5;30;6;7;0;0;125079;489876
4;40;11;11;0;0;44367;162904
5;30;6;62;0;3;26655;109159
5;20;2;2;0;0;8797;32921
5;20;2;2;0;0;9382;34877
5;20;2;3;0;0;105237;395952
